tx_nb_corto_lugar,tx_lat,tx_long,tx_nb_lugar, esAlias,esHoja,Padre,Siguiente,Anterior,Km_rang,Km_aprox,Nivel,cod_rutaraiz
a_venezuela,,,Venezuela,1,0,NULL,NULL,NULL,NULL,NULL,0,NULL
a_pnm,,,Carretera Panamericana – Altos Mirandinos,1,0,a_venezuela,NULL,NULL,NULL,NULL,1,a_pnm
a_km 0,10.45327,-66.92105,Kilómetro 0,1,0,a_pnm,a_km 1,NULL,Km 0-5,a_km 0,2,a_pnm
km 0,,,,0,1,a_km 0,,,,,3,a_pnm
gaviota,,,,0,1,a_km 0,,,,,3,a_pnm
km. 0,,,,0,1,a_km 0,,,,,3,a_pnm
km0,,,,0,1,a_km 0,,,,,3,a_pnm
kilometro 0,,,,0,1,a_km 0,,,,,3,a_pnm
a_distribuidor de gas,10.456352,-66.924873,Distribuidor de Gas,1,0,a_pnm,a_km 1,a_km 0,Km 0-5,a_km 0,2,a_pnm
distribuidor de gas,,,,0,1,a_distribuidor de gas,,,,,3,a_pnm
dist de gas,,,,0,1,a_distribuidor de gas,,,,,3,a_pnm
a_km 1,10.45609,-66.92378,Kilómetro 1,1,0,a_pnm,a_km 2,a_km 0,Km 0-5,a_km 1,2,a_pnm
km 1,,,,0,1,a_km 1,,,,,3,a_pnm
km. 1,,,,0,1,a_km 1,,,,,3,a_pnm
kilometro 1,,,,0,1,a_km 1,,,,,3,a_pnm
km1,,,,0,1,a_km 1,,,,,3,a_pnm
a_km 2,10.45472,-66.92697,Kilómetro 2,1,0,a_pnm,a_km 3,a_km 1,Km 0-5,a_km 2,2,a_pnm
km 2,,,,0,1,a_km 2,,,,,3,a_pnm
km2,,,,0,1,a_km 2,,,,,3,a_pnm
kilometro 2,,,,0,1,a_km 2,,,,,3,a_pnm
km. 2,,,,0,1,a_km 2,,,,,3,a_pnm
a_km 3,10.442687,-66.935184,Kilómetro 3,1,0,a_pnm,a_km 4,a_km 3,Km 0-5,a_km 3,2,a_pnm
km 3,,,,0,1,a_km 3,,,,,3,a_pnm
km. 3,,,,0,1,a_km 3,,,,,3,a_pnm
kilometro 3,,,,0,1,a_km 3,,,,,3,a_pnm
km3,,,,0,1,a_km 3,,,,,3,a_pnm
a_hipodromo,10.44225,-66.94145,Sector Hipódromo,1,0,a_pnm,a_km 4,a_km 2,Km 0-5,a_km 3,2,a_pnm
hipodromo,,,,0,1,a_hipodromo,,,,,3,a_pnm
a_km 4,10.442655,-66.943625,Kilómetro 4,1,0,a_pnm,a_km 5,a_km 3,Km 0-5,a_km 4,2,a_pnm
km 4,,,,0,1,a_km 4,,,,,3,a_pnm
km. 4,,,,0,1,a_km 4,,,,,3,a_pnm
kilometro 4,,,,0,1,a_km 4,,,,,3,a_pnm
km4,,,,0,1,a_km 4,,,,,3,a_pnm
a_km 5,10.43664,-66.94579,Kilómetro 5,1,0,a_pnm,a_km 6,a_km 4,Km 0-5,a_km 5,2,a_pnm
km 5,,,,0,1,a_km 5,,,,,3,a_pnm
km5,,,,0,1,a_km 5,,,,,3,a_pnm
